FY2024,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,PD & CA,12.707582443493784,12.29487374892039,16.351325082615176,16.634923735573246,15.780027069969988,14.010433301394656,13.255456342796593,11.598722986247543,11.131867305233069,11.020278833967048,10.79760134558662,10.513130720631546,11.639339643903538,11.844844396426783,11.316229645299355,10.95733130327347,10.534029032380326,,,
,Confect. ,6.324317041129114,6.542024420396619,6.3678481176699275,7.240643974540542,8.781557111751898,7.424411796018311,6.847403310633569,6.139489194499018,5.878739249266568,6.051964512040557,4.963069497598908,4.808691082841466,4.666723011043498,4.3387177527734595,3.920893393024057,3.9498808171822932,4.7983020226649655,,,
,PetCare,22.535116380907468,22.57277853985673,21.060390073219722,19.623642786215427,18.181015712352146,16.295379537953796,15.947122901779368,16.10265225933202,17.10087510343271,17.788339670468947,17.6986080978963,17.653456514035025,20.402298850574713,20.295659964689452,21.047129433758055,22.450049295510986,23.90686392177176,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,EV/EBIT,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,Enterprise Value/EBIT,,,,,,,,,,,,,,,,,,,
,1991,7.57098,,,,,,,,,,,,,,,,,,,
,1992,9.873338,,,,,,,,,,,,,,,,,,,
,1993,9.779838,,,,,,,,,,,,,,,,,,,
,1994,9.608508,,,,,,,,,,,,,,,,,,,
